Trajectory summary
Episodes: 763
Success rate: 100.0%
Path length (avg): 21.52
Total reward (avg): 0.00
Mean step (avg): 0.11
Total steps: 152500
Avg steps per episode: 199.87
Path length per episode:
ep_00163: path_length=20.77, steps=200
ep_00164: path_length=23.27, steps=200
ep_00165: path_length=22.17, steps=200
ep_00166: path_length=19.85, steps=200
ep_00167: path_length=22.60, steps=200
ep_00168: path_length=20.45, steps=200
ep_00169: path_length=24.37, steps=200
ep_00170: path_length=23.17, steps=200
ep_00171: path_length=20.93, steps=200
ep_00172: path_length=21.15, steps=200
ep_00173: path_length=20.72, steps=200
ep_00174: path_length=21.41, steps=200
ep_00175: path_length=20.47, steps=200
ep_00176: path_length=21.20, steps=200
ep_00177: path_length=21.61, steps=200
ep_00178: path_length=20.76, steps=200
ep_00179: path_length=21.39, steps=200
ep_00180: path_length=22.74, steps=200
ep_00181: path_length=21.00, steps=200
ep_00182: path_length=22.84, steps=200
ep_00183: path_length=21.74, steps=200
ep_00184: path_length=23.23, steps=200
ep_00185: path_length=20.69, steps=200
ep_00186: path_length=25.57, steps=200
ep_00187: path_length=21.68, steps=200
ep_00188: path_length=21.86, steps=200
ep_00189: path_length=21.18, steps=200
ep_00190: path_length=21.96, steps=200
ep_00191: path_length=19.94, steps=200
ep_00192: path_length=21.62, steps=200
ep_00193: path_length=22.30, steps=200
ep_00194: path_length=21.73, steps=200
ep_00195: path_length=23.44, steps=200
ep_00196: path_length=22.02, steps=200
ep_00197: path_length=21.38, steps=200
ep_00198: path_length=22.16, steps=200
ep_00199: path_length=21.29, steps=200
ep_00200: path_length=20.64, steps=200
ep_00201: path_length=21.31, steps=200
ep_00202: path_length=23.86, steps=200
ep_00203: path_length=23.56, steps=200
ep_00204: path_length=21.47, steps=200
ep_00205: path_length=20.71, steps=200
ep_00206: path_length=22.43, steps=200
ep_00207: path_length=21.78, steps=200
ep_00208: path_length=21.46, steps=200
ep_00209: path_length=21.60, steps=200
ep_00210: path_length=21.57, steps=200
ep_00211: path_length=22.99, steps=200
ep_00212: path_length=21.60, steps=200
ep_00213: path_length=20.64, steps=200
ep_00214: path_length=20.73, steps=200
ep_00215: path_length=19.33, steps=200
ep_00216: path_length=21.27, steps=200
ep_00217: path_length=21.97, steps=200
ep_00218: path_length=24.35, steps=200
ep_00219: path_length=21.91, steps=200
ep_00220: path_length=22.70, steps=200
ep_00221: path_length=21.81, steps=200
ep_00222: path_length=21.87, steps=200
ep_00223: path_length=20.78, steps=200
ep_00224: path_length=22.74, steps=200
ep_00225: path_length=20.33, steps=200
ep_00226: path_length=21.12, steps=200
ep_00227: path_length=23.02, steps=200
ep_00228: path_length=21.13, steps=200
ep_00229: path_length=22.67, steps=200
ep_00230: path_length=22.04, steps=200
ep_00231: path_length=21.29, steps=200
ep_00232: path_length=21.40, steps=200
ep_00233: path_length=22.29, steps=200
ep_00234: path_length=21.08, steps=200
ep_00235: path_length=21.97, steps=200
ep_00236: path_length=22.71, steps=200
ep_00237: path_length=21.05, steps=200
ep_00238: path_length=20.86, steps=200
ep_00239: path_length=22.30, steps=200
ep_00240: path_length=22.31, steps=200
ep_00241: path_length=23.13, steps=200
ep_00242: path_length=23.70, steps=200
ep_00243: path_length=21.21, steps=200
ep_00244: path_length=22.66, steps=200
ep_00245: path_length=22.94, steps=200
ep_00246: path_length=20.59, steps=200
ep_00247: path_length=21.69, steps=200
ep_00248: path_length=20.91, steps=200
ep_00249: path_length=23.08, steps=200
ep_00250: path_length=20.78, steps=200
ep_00251: path_length=22.41, steps=200
ep_00252: path_length=20.31, steps=200
ep_00253: path_length=21.86, steps=200
ep_00254: path_length=21.09, steps=200
ep_00255: path_length=21.02, steps=200
ep_00256: path_length=22.46, steps=200
ep_00257: path_length=20.36, steps=200
ep_00258: path_length=23.54, steps=200
ep_00259: path_length=20.68, steps=200
ep_00260: path_length=20.73, steps=200
ep_00261: path_length=23.42, steps=200
ep_00262: path_length=22.30, steps=200
ep_00263: path_length=20.56, steps=200
ep_00264: path_length=21.32, steps=200
ep_00265: path_length=20.73, steps=200
ep_00266: path_length=23.62, steps=200
ep_00267: path_length=22.10, steps=200
ep_00268: path_length=21.08, steps=200
ep_00269: path_length=22.26, steps=200
ep_00270: path_length=20.01, steps=200
ep_00271: path_length=21.89, steps=200
ep_00272: path_length=23.95, steps=200
ep_00273: path_length=22.80, steps=200
ep_00274: path_length=21.94, steps=200
ep_00275: path_length=23.20, steps=200
ep_00276: path_length=21.65, steps=200
ep_00277: path_length=20.52, steps=200
ep_00278: path_length=22.65, steps=200
ep_00279: path_length=21.36, steps=200
ep_00280: path_length=18.63, steps=200
ep_00281: path_length=21.83, steps=200
